"day" "doy" "date" "year" "cpue" "ccpue" "p.ccpue"
83 234 "8/22" 1989 0 523.46 1
84 235 "8/23" 1989 0 523.46 1
85 236 "8/24" 1989 0 523.46 1
1 152 "6/1" 1990 0 0 0
2 153 "6/2" 1990 2.1 2.1 0.004741263
3 154 "6/3" 1990 0 2.1 0.004741263
4 155 "6/4" 1990 0.7 2.8 0.006321683
5 156 "6/5" 1990 1.4 4.2 0.009482525
6 157 "6/6" 1990 1.46 5.66 0.012778831
7 158 "6/7" 1990 2.73 8.39 0.018942473
8 159 "6/8" 1990 4.25 12.64 0.028537885
9 160 "6/9" 1990 4.52 17.16 0.038742888
10 161 "6/10" 1990 8.12 25.28 0.05707577
11 162 "6/11" 1990 13.91 39.19 0.08848099
12 163 "6/12" 1990 13.6 52.79 0.119186309
13 164 "6/13" 1990 5.64 58.43 0.131919986
14 165 "6/14" 1990 2.45 60.88 0.137451459
15 166 "6/15" 1990 8.61 69.49 0.156890635
16 167 "6/16" 1990 11.46 80.95 0.182764382
17 168 "6/17" 1990 6.13 87.08 0.196604353
18 169 "6/18" 1990 12.97 100.05 0.225887293
